============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
finish loading examples
number of processes for converting feature: 8
1 processor started !
2 processor started !
3 processor started !
4 processor started !
5 processor started !
6 processor started !
7 processor started !
8 processor started !
finish loading examples
number of processes for converting feature: 2
1 processor started !
2 processor started !
{"eval_acc": 0.504, "eval_f1": 0.503037881338271, "eval_mcc": 0.008213348053582646, "eval_auc": 0.5198820795283181, "eval_precision": 0.5041233995362435, "eval_recall": 0.5040900163600655, "learning_rate": 3.0395136778115506e-06, "loss": 0.6928141951560974, "step": 10}
{"eval_acc": 0.524, "eval_f1": 0.5226079247084499, "eval_mcc": 0.04851450246888475, "eval_auc": 0.5484021936087744, "eval_precision": 0.5244053041805851, "eval_recall": 0.5241100964403858, "learning_rate": 6.079027355623101e-06, "loss": 0.7003555715084075, "step": 20}
{"eval_acc": 0.568, "eval_f1": 0.5678271308523409, "eval_mcc": 0.13620445752549068, "eval_auc": 0.6102344409377638, "eval_precision": 0.5681622381881639, "eval_recall": 0.5680422721690888, "learning_rate": 9.11854103343465e-06, "loss": 0.6818149745464325, "step": 30}
{"eval_acc": 0.616, "eval_f1": 0.6143199778233988, "eval_mcc": 0.23438228055485097, "eval_auc": 0.6824507298029192, "eval_precision": 0.618257430420633, "eval_recall": 0.6161344645378581, "learning_rate": 1.2158054711246202e-05, "loss": 0.6791388034820557, "step": 40}
{"eval_acc": 0.654, "eval_f1": 0.649762121672234, "eval_mcc": 0.3163383126036257, "eval_auc": 0.7362309449237797, "eval_precision": 0.662216687212585, "eval_recall": 0.6542226168904676, "learning_rate": 1.5197568389057751e-05, "loss": 0.6607712626457214, "step": 50}
{"eval_acc": 0.712, "eval_f1": 0.7104992279979414, "eval_mcc": 0.4280544699068113, "eval_auc": 0.776311105244421, "eval_precision": 0.7162178160426846, "eval_recall": 0.7118588474353897, "learning_rate": 1.82370820668693e-05, "loss": 0.6314170241355896, "step": 60}
{"eval_acc": 0.737, "eval_f1": 0.7362020110835277, "eval_mcc": 0.4765724704771726, "eval_auc": 0.7938511754047016, "eval_precision": 0.7396877175373557, "eval_recall": 0.7368929475717902, "learning_rate": 2.1276595744680852e-05, "loss": 0.5811226904392243, "step": 70}
{"eval_acc": 0.735, "eval_f1": 0.7348597408028847, "eval_mcc": 0.4706394294715878, "eval_auc": 0.8227632910531644, "eval_precision": 0.7355908012059786, "eval_recall": 0.7350489401957607, "learning_rate": 2.4316109422492404e-05, "loss": 0.5583887338638306, "step": 80}
{"eval_acc": 0.755, "eval_f1": 0.754870326402667, "eval_mcc": 0.5106856693435788, "eval_auc": 0.8384553538214153, "eval_precision": 0.7556369876194753, "eval_recall": 0.7550490201960808, "learning_rate": 2.735562310030395e-05, "loss": 0.47801355123519895, "step": 90}
{"eval_acc": 0.766, "eval_f1": 0.7658164000576453, "eval_mcc": 0.5330143496239748, "eval_auc": 0.8467833871335486, "eval_precision": 0.7669560401189601, "eval_recall": 0.766059064236257, "learning_rate": 3.0395136778115502e-05, "loss": 0.46895619928836824, "step": 100}
{"eval_acc": 0.788, "eval_f1": 0.7879312897378752, "eval_mcc": 0.5762663301226257, "eval_auc": 0.8584954339817359, "eval_precision": 0.7882992739606985, "eval_recall": 0.7879671518686076, "learning_rate": 3.3434650455927054e-05, "loss": 0.43120301365852354, "step": 110}
{"eval_acc": 0.75, "eval_f1": 0.7484696895914745, "eval_mcc": 0.5066813685330614, "eval_auc": 0.8654554618218473, "eval_precision": 0.75656283460303, "eval_recall": 0.7501590006360026, "learning_rate": 3.64741641337386e-05, "loss": 0.3875891789793968, "step": 120}
{"eval_acc": 0.814, "eval_f1": 0.8138741789449668, "eval_mcc": 0.6286876070897364, "eval_auc": 0.878183512734051, "eval_precision": 0.8147368421052632, "eval_recall": 0.8139512558050233, "learning_rate": 3.951367781155015e-05, "loss": 0.447610530257225, "step": 130}
