============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
finish loading examples
number of processes for converting feature: 8
1 processor started !
2 processor started !
3 processor started !
4 processor started !
5 processor started !
6 processor started !
7 processor started !
8 processor started !
finish loading examples
number of processes for converting feature: 2
1 processor started !
2 processor started !
{"eval_acc": 0.043434343434343436, "eval_top10acc": 0.31717171717171716, "eval_f1": 0.04074666487659507, "eval_mcc": 0.010589343239214434, "eval_auc": 0.48735315537823376, "eval_precision": 0.07631412670506067, "eval_recall": 0.04343434343434342, "learning_rate": 4.2735042735042735e-05, "loss": 3.4286717128753663, "step": 25}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.34040404040404043, "eval_f1": 0.025975743685090074, "eval_mcc": 0.0, "eval_auc": 0.5110456709202791, "eval_precision": 0.036121218545171245, "eval_recall": 0.03333333333333333, "learning_rate": 8.547008547008547e-05, "loss": 3.425140027999878, "step": 50}
{"eval_acc": 0.0595959595959596, "eval_top10acc": 0.39090909090909093, "eval_f1": 0.03338535627888841, "eval_mcc": 0.029009777271688575, "eval_auc": 0.5490959754282638, "eval_precision": 0.07799391776779073, "eval_recall": 0.059595959595959605, "learning_rate": 0.00012820512820512823, "loss": 3.406476392745972, "step": 75}
{"eval_acc": 0.049494949494949494, "eval_top10acc": 0.37777777777777777, "eval_f1": 0.029167792703764916, "eval_mcc": 0.01823820023158506, "eval_auc": 0.5390107976314872, "eval_precision": 0.046794517960853904, "eval_recall": 0.049494949494949494, "learning_rate": 0.00017094017094017094, "loss": 3.3787284660339356, "step": 100}
{"eval_acc": 0.06868686868686869, "eval_top10acc": 0.402020202020202, "eval_f1": 0.02714812434193995, "eval_mcc": 0.04067799285007931, "eval_auc": 0.5672033817801844, "eval_precision": 0.049705854102468326, "eval_recall": 0.06868686868686869, "learning_rate": 0.00019848771266540644, "loss": 3.3878972911834717, "step": 125}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5264943056479107, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00019376181474480152, "loss": 3.464477663040161, "step": 150}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5147810392324499, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.0001890359168241966, "loss": 3.5359342193603513, "step": 175}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5042488627128126, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.0001843100189035917, "loss": 3.5000259685516357, "step": 200}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5051993287103005, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00017958412098298678, "loss": 3.468606357574463, "step": 225}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.49820883864771015, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00017485822306238186, "loss": 3.461159391403198, "step": 250}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5002649272241748, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00017013232514177695, "loss": 3.47899995803833, "step": 275}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.49927593595305186, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00016540642722117204, "loss": 3.4611916160583496, "step": 300}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.48656048467960694, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00016068052930056712, "loss": 3.46596097946167, "step": 325}
