============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
finish loading examples
number of processes for converting feature: 2
1 processor started !
2 processor started !
{"eval_acc": 0.030303030303030304, "eval_top10acc": 0.32222222222222224, "eval_f1": 0.01842216099607525, "eval_mcc": -0.003359709381043828, "eval_auc": 0.48804238835586794, "eval_precision": 0.052895720519902704, "eval_recall": 0.0303030303030303, "learning_rate": 1.7241379310344828e-05, "loss": 3.42753427028656, "step": 10}
{"eval_acc": 0.04141414141414142, "eval_top10acc": 0.3474747474747475, "eval_f1": 0.026785112810015634, "eval_mcc": 0.008814427315343485, "eval_auc": 0.5223647129603243, "eval_precision": 0.038388135689719376, "eval_recall": 0.04141414141414141, "learning_rate": 3.4482758620689657e-05, "loss": 3.4166268825531008, "step": 20}
{"eval_acc": 0.046464646464646465, "eval_top10acc": 0.44242424242424244, "eval_f1": 0.016490875227939853, "eval_mcc": 0.015822935923707475, "eval_auc": 0.5970668017689961, "eval_precision": 0.08947596284465194, "eval_recall": 0.04646464646464646, "learning_rate": 5.172413793103449e-05, "loss": 3.396295928955078, "step": 30}
{"eval_acc": 0.08484848484848485, "eval_top10acc": 0.46565656565656566, "eval_f1": 0.058235334881700095, "eval_mcc": 0.06017633137753865, "eval_auc": 0.6521853857277056, "eval_precision": 0.10241242654286133, "eval_recall": 0.08484848484848483, "learning_rate": 6.896551724137931e-05, "loss": 3.355234408378601, "step": 40}
{"eval_acc": 0.09696969696969697, "eval_top10acc": 0.5313131313131313, "eval_f1": 0.04149931834853871, "eval_mcc": 0.07647825188402259, "eval_auc": 0.6770231046093116, "eval_precision": 0.1047685395752928, "eval_recall": 0.09696969696969697, "learning_rate": 8.620689655172413e-05, "loss": 3.2969583749771116, "step": 50}
{"eval_acc": 0.16565656565656567, "eval_top10acc": 0.5585858585858586, "eval_f1": 0.1044866989108, "eval_mcc": 0.14359303204861915, "eval_auc": 0.7068205566638168, "eval_precision": 0.13776184137291775, "eval_recall": 0.16565656565656567, "learning_rate": 0.00010344827586206898, "loss": 3.2163959741592407, "step": 60}
{"eval_acc": 0.1484848484848485, "eval_top10acc": 0.602020202020202, "eval_f1": 0.07924245212168723, "eval_mcc": 0.13073478742651404, "eval_auc": 0.7252535807394742, "eval_precision": 0.09764979578947332, "eval_recall": 0.14848484848484847, "learning_rate": 0.0001206896551724138, "loss": 3.1133402824401855, "step": 70}
{"eval_acc": 0.17373737373737375, "eval_top10acc": 0.6080808080808081, "eval_f1": 0.1276617194053434, "eval_mcc": 0.15381090890227775, "eval_auc": 0.7251818076269488, "eval_precision": 0.1264697416011416, "eval_recall": 0.17373737373737372, "learning_rate": 0.00013793103448275863, "loss": 3.0891350984573362, "step": 80}
{"eval_acc": 0.21212121212121213, "eval_top10acc": 0.6595959595959596, "eval_f1": 0.13742004506453806, "eval_mcc": 0.18959798770394856, "eval_auc": 0.7593352543195804, "eval_precision": 0.11590642270787407, "eval_recall": 0.21212121212121207, "learning_rate": 0.00015517241379310346, "loss": 2.93581759929657, "step": 90}
{"eval_acc": 0.16464646464646465, "eval_top10acc": 0.5818181818181818, "eval_f1": 0.12617245490148044, "eval_mcc": 0.14438682005218262, "eval_auc": 0.740507478125033, "eval_precision": 0.16050534276233866, "eval_recall": 0.16464646464646465, "learning_rate": 0.00017241379310344826, "loss": 2.898510146141052, "step": 100}
{"eval_acc": 0.20909090909090908, "eval_top10acc": 0.7, "eval_f1": 0.1447141162666884, "eval_mcc": 0.18705790606035858, "eval_auc": 0.777523405423092, "eval_precision": 0.16715703379451013, "eval_recall": 0.20909090909090908, "learning_rate": 0.00018965517241379312, "loss": 2.888109254837036, "step": 110}
{"eval_acc": 0.21313131313131314, "eval_top10acc": 0.6828282828282828, "eval_f1": 0.17121140562968906, "eval_mcc": 0.19129547954685647, "eval_auc": 0.7806064828008402, "eval_precision": 0.19684532595885543, "eval_recall": 0.21313131313131314, "learning_rate": 0.00019923736892278363, "loss": 2.8086148500442505, "step": 120}
{"eval_acc": 0.21818181818181817, "eval_top10acc": 0.7282828282828283, "eval_f1": 0.19475434790241844, "eval_mcc": 0.19462283555699053, "eval_auc": 0.7870840062062632, "eval_precision": 0.2681540575992602, "eval_recall": 0.21818181818181814, "learning_rate": 0.00019733079122974262, "loss": 2.697939133644104, "step": 130}
{"eval_acc": 0.21212121212121213, "eval_top10acc": 0.7424242424242424, "eval_f1": 0.15825432712276283, "eval_mcc": 0.19390086674579088, "eval_auc": 0.8047254150702426, "eval_precision": 0.23818895543624674, "eval_recall": 0.21212121212121204, "learning_rate": 0.00019542421353670164, "loss": 2.676156783103943, "step": 140}
{"eval_acc": 0.2313131313131313, "eval_top10acc": 0.7545454545454545, "eval_f1": 0.2031983580925692, "eval_mcc": 0.21041737583639408, "eval_auc": 0.8157056457996898, "eval_precision": 0.23018752485534064, "eval_recall": 0.23131313131313125, "learning_rate": 0.00019351763584366064, "loss": 2.6605159521102903, "step": 150}
{"eval_acc": 0.2737373737373737, "eval_top10acc": 0.7484848484848485, "eval_f1": 0.2281272751443656, "eval_mcc": 0.253308873065935, "eval_auc": 0.8046905840009289, "eval_precision": 0.28763321639856876, "eval_recall": 0.2737373737373737, "learning_rate": 0.00019161105815061963, "loss": 2.6300680875778197, "step": 160}
{"eval_acc": 0.26161616161616164, "eval_top10acc": 0.7696969696969697, "eval_f1": 0.21466013005040377, "eval_mcc": 0.24573332421347058, "eval_auc": 0.8185544050747812, "eval_precision": 0.30946062878688235, "eval_recall": 0.2616161616161616, "learning_rate": 0.00018970448045757865, "loss": 2.6271360158920287, "step": 170}
{"eval_acc": 0.2767676767676768, "eval_top10acc": 0.7676767676767676, "eval_f1": 0.24725584004820902, "eval_mcc": 0.25693435860253994, "eval_auc": 0.8326251015906188, "eval_precision": 0.3490664357505714, "eval_recall": 0.2767676767676768, "learning_rate": 0.00018779790276453765, "loss": 2.3249170899391176, "step": 180}
{"eval_acc": 0.2202020202020202, "eval_top10acc": 0.7202020202020202, "eval_f1": 0.20160551855393763, "eval_mcc": 0.1984965896126546, "eval_auc": 0.8065872940481091, "eval_precision": 0.25067215063112197, "eval_recall": 0.22020202020202018, "learning_rate": 0.00018589132507149667, "loss": 2.539878284931183, "step": 190}
{"eval_acc": 0.2494949494949495, "eval_top10acc": 0.7747474747474747, "eval_f1": 0.228648288905315, "eval_mcc": 0.22961099361008908, "eval_auc": 0.8279989022935731, "eval_precision": 0.2612024923517541, "eval_recall": 0.24949494949494946, "learning_rate": 0.0001839847473784557, "loss": 2.671267557144165, "step": 200}
{"eval_acc": 0.2696969696969697, "eval_top10acc": 0.7505050505050505, "eval_f1": 0.23201137532689345, "eval_mcc": 0.2566632047335607, "eval_auc": 0.8277846384429456, "eval_precision": 0.32686237788847106, "eval_recall": 0.2696969696969697, "learning_rate": 0.00018207816968541469, "loss": 2.655703234672546, "step": 210}
{"eval_acc": 0.30707070707070705, "eval_top10acc": 0.807070707070707, "eval_f1": 0.26573605161846703, "eval_mcc": 0.2880384850177617, "eval_auc": 0.8483096376513304, "eval_precision": 0.29945531902833167, "eval_recall": 0.3070707070707071, "learning_rate": 0.0001801715919923737, "loss": 2.4443679094314574, "step": 220}
{"eval_acc": 0.29292929292929293, "eval_top10acc": 0.8121212121212121, "eval_f1": 0.26660937827555314, "eval_mcc": 0.2737883634852953, "eval_auc": 0.8465997487941062, "eval_precision": 0.3535036997726986, "eval_recall": 0.292929292929293, "learning_rate": 0.0001782650142993327, "loss": 2.344473147392273, "step": 230}
{"eval_acc": 0.298989898989899, "eval_top10acc": 0.8151515151515152, "eval_f1": 0.26637737509382625, "eval_mcc": 0.2792636052777646, "eval_auc": 0.8440496923255544, "eval_precision": 0.2986235688271949, "eval_recall": 0.298989898989899, "learning_rate": 0.00017635843660629172, "loss": 2.2401665091514587, "step": 240}
{"eval_acc": 0.3151515151515151, "eval_top10acc": 0.8232323232323232, "eval_f1": 0.2857074836713656, "eval_mcc": 0.2965191239921675, "eval_auc": 0.8512650011082614, "eval_precision": 0.3330575993417062, "eval_recall": 0.31515151515151524, "learning_rate": 0.00017445185891325075, "loss": 2.2324050784111025, "step": 250}
{"eval_acc": 0.32323232323232326, "eval_top10acc": 0.803030303030303, "eval_f1": 0.2832803891319557, "eval_mcc": 0.3045489732610849, "eval_auc": 0.8559323643963143, "eval_precision": 0.33477214850242715, "eval_recall": 0.32323232323232326, "learning_rate": 0.00017254528122020974, "loss": 2.150391125679016, "step": 260}
{"eval_acc": 0.31212121212121213, "eval_top10acc": 0.8353535353535354, "eval_f1": 0.2897142370773642, "eval_mcc": 0.2920279264633388, "eval_auc": 0.8568263618420358, "eval_precision": 0.3544335131394056, "eval_recall": 0.31212121212121213, "learning_rate": 0.00017063870352716873, "loss": 2.3947094202041628, "step": 270}
{"eval_acc": 0.3181818181818182, "eval_top10acc": 0.8333333333333334, "eval_f1": 0.2909242997346582, "eval_mcc": 0.3010897937302788, "eval_auc": 0.8588581742186757, "eval_precision": 0.364088927588677, "eval_recall": 0.31818181818181823, "learning_rate": 0.00016873212583412773, "loss": 2.2538772940635683, "step": 280}
{"eval_acc": 0.3181818181818182, "eval_top10acc": 0.8151515151515152, "eval_f1": 0.27183832056031265, "eval_mcc": 0.29883302168399944, "eval_auc": 0.8582301594840779, "eval_precision": 0.28274398488534497, "eval_recall": 0.31818181818181823, "learning_rate": 0.00016682554814108675, "loss": 2.179358971118927, "step": 290}
{"eval_acc": 0.3323232323232323, "eval_top10acc": 0.8323232323232324, "eval_f1": 0.3023501232603684, "eval_mcc": 0.3156454025632104, "eval_auc": 0.8618715894577964, "eval_precision": 0.3672110405943391, "eval_recall": 0.3323232323232323, "learning_rate": 0.00016491897044804577, "loss": 2.1089968085289, "step": 300}
{"eval_acc": 0.3414141414141414, "eval_top10acc": 0.8353535353535354, "eval_f1": 0.31351400152907377, "eval_mcc": 0.3223288901127948, "eval_auc": 0.86533464213715, "eval_precision": 0.34587023125311933, "eval_recall": 0.3414141414141414, "learning_rate": 0.00016301239275500477, "loss": 2.315831184387207, "step": 310}
{"eval_acc": 0.32727272727272727, "eval_top10acc": 0.8323232323232324, "eval_f1": 0.31133629180694494, "eval_mcc": 0.30672157610766226, "eval_auc": 0.8634094339423493, "eval_precision": 0.35834058726364887, "eval_recall": 0.3272727272727273, "learning_rate": 0.0001611058150619638, "loss": 2.042660641670227, "step": 320}
{"eval_acc": 0.3111111111111111, "eval_top10acc": 0.8383838383838383, "eval_f1": 0.28825050501957467, "eval_mcc": 0.2915756953184094, "eval_auc": 0.8649799985223183, "eval_precision": 0.3992352213866202, "eval_recall": 0.31111111111111106, "learning_rate": 0.00015919923736892278, "loss": 2.226424145698547, "step": 330}
